title,console,genre,publisher,metacritic_review_count,metacritic_review_score,user_review_count,user_review_score,total_sales,release_year,publisher_rank,platform_release_count,total_sales_per_title
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,66,8.8,4074,7.7,4970000,2007,6,1,4970000
Assassin's Creed,PS3,Action,Ubisoft,77,8.1,1559,7.3,4830000,2007,4,3,11290000
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,24,8.0,388,8.5,4770000,2007,12,4,15330000
Batman: Arkham City,X360,Action,Warner Bros. Interactive,87,9.4,3093,8.8,4750000,2011,22,2,10290000
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,32,8.2,133,7.9,4670000,2002,2,4,6650000
Spider-Man: The Movie,PS2,Action,Activision,29,7.9,33,7.4,4480000,2002,1,3,7070000
Watch Dogs,PS4,Action-Adventure,Ubisoft,80,8.0,4140,6.7,4320000,2014,4,6,9700000
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,78,9.2,2154,8.6,4280000,2009,21,2,7820000
Assassin's Creed: Revelations,PS3,Action,Ubisoft,77,8.0,1164,7.5,4230000,2011,4,3,9210000
Assassin's Creed: Revelations,X360,Action,Ubisoft,77,8.0,1164,7.5,4220000,2011,4,3,9210000
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,90,8.7,5813,8.1,4110000,2015,22,2,5690000
Assassin's Creed Origins,PS4,Action,Ubisoft,70,8.1,4117,7.3,4059999,2017,4,2,6529999
Far Cry 5,PS4,Action,Ubisoft,90,8.1,2975,6.9,3950000,2018,4,3,5800000
Assassin's Creed IV: Black Flag,PS3,Action-Adventure,Ubisoft,36,8.8,2065,8.3,3940000,2013,4,6,13710000
Assassin's Creed Syndicate,PS4,Action,Ubisoft,88,7.6,2665,6.9,3600000,2015,4,3,5300000
The Getaway,PS2,Action,Sony Computer Entertainment,49,7.2,73,7.4,3540000,2003,6,1,3540000
Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,65,8.8,406,8.0,3540000,2006,7,2,11260000
Batman: Arkham Asylum,X360,Action,Eidos Interactive,78,9.2,2154,8.6,3540000,2009,21,2,7820000
Resident Evil 5,X360,Action,Capcom,91,8.3,895,7.3,3530000,2009,11,4,8740000
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,81,8.9,1541,8.4,3530000,2010,4,3,6970000
LEGO Batman: The Videogame,X360,Adventure,Warner Bros. Interactive,49,7.6,275,8.1,3440000,2008,22,7,13550000
Spider-Man 2,PS2,Action,Activision,60,8.3,95,7.8,3410000,2004,1,5,6570000
Watch Dogs 2,PS4,Action,Ubisoft,99,8.2,2284,7.6,3360000,2016,4,3,4710000
Assassin's Creed IV: Black Flag,X360,Action-Adventure,Ubisoft,36,8.8,2065,8.3,3340000,2013,4,6,13710000
Star Wars Episode III: Revenge of the Sith,PS2,Action,LucasArts,44,6.1,48,7.8,3320000,2005,12,4,5590000
The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,31,8.5,224,8.5,3280000,2003,2,3,5110000
True Crime: Streets of LA,PS2,Action,Activision,39,7.7,23,7.5,3270000,2003,1,4,5210000
L.A. Noire,PS3,Adventure,Rockstar Games,83,8.9,1207,8.0,3210000,2011,7,5,7240000
Assassin's Creed IV: Black Flag,PS4,Action-Adventure,Ubisoft,36,8.8,2065,8.3,3190000,2013,4,6,13710000
Enter the Matrix,PS2,Action,Atari,33,6.5,20,8.0,3180000,2003,16,4,4830000
Assassin's Creed Odyssey,PS4,Action-Adventure,Ubisoft,95,8.3,4706,6.8,3180000,2018,4,3,4630000
Resident Evil 6,PS3,Action,Capcom,71,6.7,1842,5.3,3120000,2012,11,2,5090000
LEGO Batman: The Videogame,Wii,Adventure,Warner Bros. Interactive,49,7.6,275,8.1,3080000,2008,22,7,13550000
Saints Row 2,X360,Action,THQ,75,8.1,356,8.3,3070000,2008,5,3,4790000
LEGO Batman: The Videogame,DS,Adventure,Warner Bros. Interactive,49,7.6,275,8.1,3060000,2008,22,7,13550000
Metal Gear Solid V: The Phantom Pain,PS4,Action,Konami Digital Entertainment,88,9.3,6528,8.1,3040000,2015,33,3,4030000
Tom Clancy's Splinter Cell,XB,Action,Ubisoft,46,9.3,196,8.5,3020000,2002,4,3,5900000
Hitman 2: Silent Assassin,PS2,Action,Eidos Interactive,23,8.4,76,7.9,2960000,2002,21,4,4280000
Mafia III,PS4,Action-Adventure,2K Games,70,6.8,2177,5.4,2870000,2016,24,2,3980000
Assassin's Creed: Brotherhood,PS3,Action,Ubisoft,81,8.9,1541,8.4,2850000,2010,4,3,6970000
Skylanders: Spyro's Adventure,Wii,Action,Activision,35,7.8,98,6.4,2790000,2011,1,5,5380000
Star Wars: The Force Unleashed,X360,Action,LucasArts,74,7.3,396,7.1,2770000,2008,12,6,10070000
Saints Row: The Third,X360,Action,THQ,70,8.4,711,7.6,2770000,2011,5,3,5630000
L.A. Noire,X360,Adventure,Rockstar Games,83,8.9,1207,8.0,2730000,2011,7,5,7240000
Tom Clancy's Splinter Cell,PS2,Action,Ubisoft,46,9.3,196,8.5,2650000,2003,4,3,5900000
Harry Potter and the Chamber of Secrets,PS2,Adventure,Electronic Arts,16,7.1,128,7.7,2610000,2002,2,6,7640000
LEGO Star Wars: The Complete Saga,X360,Action,LucasArts,24,8.0,388,8.5,2590000,2007,12,4,15330000
Saints Row: The Third,PS3,Action,THQ,70,8.4,711,7.6,2480000,2011,5,3,5630000
Assassin's Creed Origins,XOne,Action,Ubisoft,70,8.1,4117,7.3,2470000,2017,4,2,6529999
LEGO Harry Potter: Years 1-4,Wii,Adventure,Warner Bros. Interactive,58,7.9,154,7.4,2450000,2010,22,6,8460000
Dying Light,PS4,Action,Warner Bros. Interactive,58,7.4,2337,8.0,2450000,2015,22,2,3920000
Kinect: Disneyland Adventures,X360,Action-Adventure,Microsoft Studios,33,7.3,56,4.1,2410000,2011,28,1,2410000
Batman: Arkham Origins,PS3,Action-Adventure,Warner Bros. Interactive Entertainment,46,7.4,1113,7.6,2400000,2013,14,3,4620000
Dead Island,X360,Action,Deep Silver,75,7.1,770,6.9,2380000,2011,43,2,4670000
Assassin's Creed IV: Black Flag,XOne,Action,Ubisoft,36,8.8,2065,8.3,2320000,2013,4,6,13710000
LEGO Star Wars: The Complete Saga,PS3,Action,LucasArts,24,8.0,388,8.5,2310000,2007,12,4,15330000
Dead Island,PS3,Action,Deep Silver,75,7.1,770,6.9,2290000,2011,43,2,4670000
LEGO Harry Potter: Years 1-4,DS,Adventure,Warner Bros. Interactive,58,7.9,154,7.4,2290000,2010,22,6,8460000
No Man's Sky,PS4,Action-Adventure,Hello Games,100,7.1,5261,5.5,2260000,2016,142,2,2490000
Prince of Persia: The Sands of Time,PS2,Adventure,Ubisoft,44,9.2,559,8.6,2220000,2003,4,5,3630000
Star Wars: The Force Unleashed,PS3,Action,LucasArts,74,7.3,396,7.1,2220000,2008,12,6,10070000
Metal Gear Solid: Peace Walker,PSP,Action,Konami,66,8.9,678,8.5,2080000,2010,8,1,2080000
Rise of the Tomb Raider,PS4,Adventure,Square Enix,103,8.6,1885,8.1,2069999,2016,18,2,2439999
Hitman: Absolution,PS3,Action,Square Enix,51,7.9,670,7.3,2060000,2012,18,2,3760000
Tom Clancy's Splinter Cell: Conviction,X360,Action,Ubisoft,90,8.5,410,7.6,2060000,2010,4,2,2160000
Peter Jackson's King Kong: The Official Game of the Movie,PS2,Action,Ubisoft,57,8.0,94,7.8,2040000,2005,4,6,3390000
Harry Potter and the Chamber of Secrets,GBA,Adventure,Electronic Arts,16,7.1,128,7.7,1990000,2002,2,6,7640000
Harry Potter and the Chamber of Secrets,PS,Adventure,Electronic Arts,16,7.1,128,7.7,1980000,2002,2,6,7640000
Just Cause 3,PS4,Action-Adventure,Square Enix,53,7.4,1064,6.1,1980000,2015,18,3,3150000
Dishonored 2,PS4,Action,Bethesda Softworks,67,8.8,1828,8.0,1970000,2016,13,3,3090000
Resident Evil 6,X360,Action,Capcom,71,6.7,1842,5.3,1970000,2012,11,2,5090000
Grand Theft Auto: San Andreas,XB,Action,Rockstar Games,80,9.5,4488,9.2,1950000,2005,7,3,3050000
Batman: Arkham Origins,X360,Action-Adventure,Warner Bros. Interactive Entertainment,46,7.4,1113,7.6,1900000,2013,14,3,4620000
The Evil Within,PS4,Action,Bethesda Softworks,65,7.5,2342,7.8,1860000,2014,13,1,1860000
Star Wars: The Force Unleashed,Wii,Action,LucasArts,74,7.3,396,7.1,1860000,2008,12,6,10070000
Watch Dogs,PS3,Action-Adventure,Ubisoft,80,8.0,4140,6.7,1830000,2014,4,6,9700000
LEGO Star Wars III: The Clone Wars,Wii,Action,LucasArts,43,7.5,141,7.8,1790000,2011,12,7,7330000
The Getaway: Black Monday,PS2,Action,Sony Computer Entertainment,53,5.7,40,8.0,1780000,2005,6,1,1780000
Far Cry 5,XOne,Action,Ubisoft,90,8.1,2975,6.9,1780000,2018,4,3,5800000
50 Cent: Bulletproof,PS2,Action,Vivendi Games,25,5.2,12,4.1,1770000,2005,54,3,2300000
State of Emergency,PS2,Action,Rockstar Games,34,7.1,25,6.6,1760000,2002,7,2,1930000
Just Cause 2,PS3,Action,Square Enix,74,8.1,318,7.8,1750000,2010,18,2,3350000
For Honor,PS4,Action,Ubisoft,62,7.8,1260,6.0,1750000,2017,4,3,2660000
Shadow of the Tomb Raider,PS4,Action-Adventure,Square Enix,70,7.5,2012,7.3,1740000,2018,18,2,2520000
Harry Potter and the Sorcerer's Stone,GB,Action,Electronic Arts,14,5.6,70,6.5,1730000,2001,2,6,3910000
Hitman: Absolution,X360,Action,Square Enix,51,7.9,670,7.3,1700000,2012,18,2,3760000
Harry Potter and the Sorcerer's Stone,GBA,Action,Electronic Arts,14,5.6,70,6.5,1690000,2001,2,6,3910000
LEGO Batman 2: DC Super Heroes,X360,Action-Adventure,Warner Bros. Interactive Entertainment,59,7.9,296,7.7,1690000,2012,14,8,6410000
Saints Row IV,X360,Action,Deep Silver,45,8.6,2119,7.4,1690000,2013,43,3,3210000
Saints Row 2,PS3,Action,THQ,75,8.1,356,8.3,1680000,2008,5,3,4790000
Star Wars The Clone Wars: Lightsaber Duels,Wii,Action,LucasArts,24,5.6,25,6.6,1650000,2008,12,1,1650000
Prince of Persia: Warrior Within,PS2,Adventure,Ubisoft,55,8.3,113,8.5,1640000,2004,4,4,2640000
Watch Dogs,XOne,Action-Adventure,Ubisoft,80,8.0,4140,6.7,1640000,2014,4,6,9700000
Uncharted: Golden Abyss,PSV,Action,Sony Computer Entertainment,80,8.0,966,7.5,1620000,2012,6,1,1620000
Just Cause 2,X360,Action,Square Enix,74,8.1,318,7.8,1600000,2010,18,2,3350000
LEGO Harry Potter: Years 1-4,X360,Adventure,Warner Bros. Interactive,58,7.9,154,7.4,1590000,2010,22,6,8460000
Batman: Arkham Knight,XOne,Action,Warner Bros. Interactive Entertainment,90,8.7,5813,8.1,1580000,2015,14,2,5690000
Devil May Cry 4,PS3,Action,Capcom,63,8.4,548,8.2,1580000,2008,11,2,2920000
LEGO Pirates of the Caribbean: The Video Game,Wii,Action,Disney Interactive Studios,54,7.3,106,7.3,1570000,2011,15,7,5510000
Mafia II,X360,Action,2K Games,79,7.4,1056,8.2,1560000,2010,24,2,3050000
Spider-Man 2: Enter: Electro,PS,Action,Activision,15,7.4,112,8.2,1550000,2001,1,1,1550000
Star Wars: The Force Unleashed II,PS3,Action,LucasArts,59,6.1,318,6.1,1510000,2010,12,5,3980000
Pac-Man World 2,PS2,Action,Namco,19,7.3,45,7.3,1510000,2002,19,1,1510000
Tomb Raider: Definitive Edition,PS4,Action-Adventure,Square Enix,54,8.5,2139,8.1,1510000,2014,18,2,2170000
Metal Gear Rising: Revengeance,PS3,Action,Konami Digital Entertainment,61,8.0,1206,8.3,1500000,2013,33,2,2000000
Dead Rising 2,X360,Action,Capcom,76,7.9,301,7.1,1490000,2010,11,4,2970000
Mafia II,PS3,Action,2K Games,79,7.4,1056,8.2,1490000,2010,24,2,3050000
Assassin's Creed III: Liberation,PSV,Adventure,Ubisoft,71,7.0,456,6.7,1480000,2012,4,1,1480000
LEGO Star Wars III: The Clone Wars,X360,Action,LucasArts,43,7.5,141,7.8,1480000,2011,12,7,7330000
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Action,Ubisoft,74,9.3,128,8.2,1480000,2004,4,5,2870000
Dying Light,XOne,Action,Warner Bros. Interactive Entertainment,58,7.4,2337,8.0,1470000,2016,14,2,3920000
The SpongeBob SquarePants Movie,GBA,Action,THQ,14,7.4,22,7.7,1460000,2004,5,1,1460000
Star Wars: The Force Unleashed II,X360,Action,LucasArts,59,6.1,318,6.1,1440000,2010,12,5,3980000
Assassin's Creed Syndicate,XOne,Action,Ubisoft,88,7.6,2665,6.9,1440000,2015,4,3,5300000
LEGO Batman 2: DC Super Heroes,Wii,Action-Adventure,Warner Bros. Interactive Entertainment,59,7.9,296,7.7,1420000,2012,14,8,6410000
Spider-Man: The Movie,XB,Action,Activision,29,7.9,33,7.4,1400000,2002,1,3,7070000
Assassin's Creed Odyssey,XOne,Action-Adventure,Ubisoft,95,8.3,4706,6.8,1390000,2018,4,3,4630000
True Crime: Streets of LA,XB,Action,Activision,39,7.7,23,7.5,1380000,2003,1,4,5210000
Dead Rising 2,PS3,Action,Capcom,76,7.9,301,7.1,1370000,2010,11,4,2970000
LEGO Harry Potter: Years 1-4,PS3,Adventure,Warner Bros. Interactive,58,7.9,154,7.4,1370000,2010,22,6,8460000
Metroid: Other M,Wii,Action,Nintendo,71,7.9,685,6.6,1360000,2010,10,1,1360000
Watch Dogs 2,XOne,Action,Ubisoft,99,8.2,2284,7.6,1350000,2016,4,3,4710000
The ICO & Shadow of the Colossus Collection,PS3,Adventure,Sony Computer Entertainment,58,9.2,747,8.7,1340000,2011,6,1,1340000
Devil May Cry 4,X360,Action,Capcom,63,8.4,548,8.2,1340000,2008,11,2,2920000
Saints Row IV,PS3,Action,Deep Silver,45,8.6,2119,7.4,1330000,2013,43,3,3210000
Alan Wake,X360,Action,Microsoft Game Studios,100,8.3,1332,8.2,1330000,2010,25,1,1330000
Grand Theft Auto: Chinatown Wars,DS,Adventure,Rockstar Games,85,9.3,341,7.6,1330000,2009,7,2,2410000
The LEGO Movie Videogame,X360,Action-Adventure,Warner Bros. Interactive Entertainment,31,7.1,177,7.0,1320000,2014,14,7,5350000
LEGO Batman: The Videogame,PS3,Adventure,Warner Bros. Interactive,49,7.6,275,8.1,1310000,2008,22,7,13550000
LEGO Batman: The Videogame,PSP,Adventure,Warner Bros. Interactive,49,7.6,275,8.1,1300000,2008,22,7,13550000
The Last Guardian,PS4,Action-Adventure,Sony Interactive Entertainment,118,8.2,2649,8.0,1290000,2016,53,1,1290000
Watch Dogs,X360,Action-Adventure,Ubisoft,80,8.0,4140,6.7,1290000,2014,4,6,9700000
Manhunt,PS2,Action,Rockstar Games,47,7.6,230,8.3,1280000,2003,7,3,1470000
LEGO Batman: The Videogame,PS2,Adventure,Warner Bros. Interactive,49,7.6,275,8.1,1270000,2008,22,7,13550000
LEGO Harry Potter: Years 5-7,Wii,Action,Warner Bros. Interactive,35,7.7,105,7.6,1260000,2011,22,8,5020000
Assassin's Creed: Bloodlines,PSP,Action,Ubisoft,38,6.3,153,6.8,1260000,2009,4,1,1260000
Tomb Raider: Underworld,PS3,Adventure,Eidos Interactive,57,7.6,129,7.5,1260000,2008,21,6,3230000
Star Wars: The Force Unleashed,PS2,Action,LucasArts,74,7.3,396,7.1,1250000,2008,12,6,10070000
Lara Croft Tomb Raider: The Angel of Darkness,PS2,Action,Eidos Interactive,37,5.2,109,6.8,1250000,2003,21,2,1250000
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,Action,Ubisoft,74,9.3,128,8.2,1250000,2004,4,5,2870000
Star Wars Episode III: Revenge of the Sith,XB,Action,LucasArts,44,6.1,48,7.8,1240000,2005,12,4,5590000
LEGO Batman 2: DC Super Heroes,PS3,Action-Adventure,Warner Bros. Interactive Entertainment,59,7.9,296,7.7,1230000,2012,14,8,6410000
Bayonetta,PS3,Action,Sega,86,9.0,783,8.2,1210000,2010,9,2,2140000
The Lord of the Rings: The Fellowship of the Ring,PS2,Action,Black Label Games,23,5.9,22,6.0,1200000,2002,161,2,1730000
Metal Gear Solid V: Ground Zeroes,PS4,Action-Adventure,Konami Digital Entertainment,70,7.5,1631,6.5,1200000,2014,33,4,2200000
Enter the Matrix,XB,Action,Atari,33,6.5,20,8.0,1200000,2003,16,4,4830000
Shadow of the Colossus,PS4,Action-Adventure,Sony Interactive Entertainment,107,9.1,2983,7.8,1200000,2018,53,3,2380000
Spider-Man: The Movie,GC,Action,Activision,29,7.9,33,7.4,1190000,2002,1,3,7070000
Hitman 2: Silent Assassin,XB,Action,Eidos Interactive,23,8.4,76,7.9,1190000,2002,21,4,4280000
Metal Gear Solid: Portable Ops,PSP,Action,Konami,54,8.7,158,7.7,1190000,2006,8,1,1190000
LEGO Star Wars III: The Clone Wars,PS3,Action,LucasArts,43,7.5,141,7.8,1180000,2011,12,7,7330000
LEGO Dimensions,PS4,Action,Warner Bros. Interactive Entertainment,53,8.0,109,7.2,1180000,2015,14,5,4230000
LEGO Jurassic World,PS4,Action,Warner Bros. Interactive Entertainment,46,7.0,201,7.2,1180000,2015,14,7,5680000
Sunset Overdrive,XOne,Action,Microsoft Studios,89,8.1,1589,7.9,1160000,2014,28,1,1160000
Gauntlet: Dark Legacy,PS2,Action,Midway Games,20,6.0,18,8.0,1150000,2001,20,4,1500000
The Lord of the Rings: The Return of the King,XB,Action,Electronic Arts,31,8.5,224,8.5,1140000,2003,2,3,5110000
Shadow of the Colossus,PS2,Adventure,Sony Computer Entertainment,107,9.1,2983,7.8,1140000,2005,6,3,2380000
Tenchu: Wrath of Heaven,PS2,Action,Activision,33,7.9,64,8.4,1140000,2003,1,1,1140000
LEGO Star Wars III: The Clone Wars,3DS,Action,LucasArts,43,7.5,141,7.8,1140000,2011,12,7,7330000
Rabbids Go Home,Wii,Adventure,Ubisoft,50,7.8,74,8.4,1130000,2009,4,1,1130000
Spider-Man 2,XB,Action,Activision,60,8.3,95,7.8,1120000,2004,1,5,6570000
Transformers: The Game,PS2,Action,Activision,50,5.2,40,5.8,1110000,2007,1,5,3340000
Metal Gear Solid HD Collection,PS3,Action,Konami Digital Entertainment,50,8.9,558,9.0,1110000,2011,33,6,3180000
Mafia III,XOne,Action-Adventure,2K Games,70,6.8,2177,5.4,1110000,2016,24,2,3980000
Castlevania: Lords of Shadow,PS3,Action,Konami,70,8.3,329,7.9,1110000,2010,8,2,1770000
Tom Clancy's Splinter Cell: Chaos Theory,XB,Action,Ubisoft,70,9.4,301,8.6,1110000,2005,4,5,2230000
LEGO Marvel Super Heroes 2,PS4,Action,Warner Bros. Interactive Entertainment,63,7.3,171,6.9,1110000,2017,14,3,2350000
LEGO Star Wars III: The Clone Wars,DS,Action,LucasArts,43,7.5,141,7.8,1100000,2011,12,7,7330000
Bully: Scholarship Edition,X360,Action,Rockstar Games,56,8.0,321,8.4,1090000,2008,7,3,1620000
The Godfather,PS2,Action,Electronic Arts,58,7.7,35,8.1,1090000,2006,2,2,1090000
Alien: Isolation,PS4,Adventure,Sega,50,7.9,1696,8.3,1090000,2014,9,5,2370000
Star Wars: The Force Unleashed,PSP,Action,LucasArts,74,7.3,396,7.1,1090000,2008,12,6,10070000
Dante's Inferno,PS3,Action,Electronic Arts,71,7.3,283,7.7,1080000,2010,2,3,2200000
Disney's Lilo & Stitch,GBA,Action,Disney Interactive Studios,7,5.4,14,6.4,1080000,2002,15,1,1080000
Grand Theft Auto: Chinatown Wars,PSP,Adventure,Rockstar Games,85,9.3,341,7.6,1080000,2009,7,2,2410000
Tomb Raider: Underworld,X360,Adventure,Eidos Interactive,57,7.6,129,7.5,1070000,2008,21,6,3230000
MySims Agents,DS,Adventure,Electronic Arts,28,7.8,19,7.2,1070000,2009,2,2,2120000
Prince of Persia,PS3,Adventure,Ubisoft,73,8.1,202,7.2,1070000,2008,4,2,2080000
Endless Ocean,Wii,Adventure,Nintendo,42,7.2,28,7.8,1060000,2008,10,1,1060000
Darksiders,X360,Action,THQ,81,8.3,342,7.8,1060000,2010,5,3,1490000
Hulk,PS2,Action,Universal Interactive,28,7.1,21,6.9,1060000,2003,62,4,1580000
The Evil Within 2,PS4,Action,Bethesda Softworks,71,7.6,1890,8.1,1050000,2017,13,2,1440000
Disney Universe,Wii,Action,Disney Interactive Studios,31,6.6,25,6.2,1050000,2011,15,4,2250000
MySims Agents,Wii,Adventure,Electronic Arts,28,7.8,19,7.2,1050000,2009,2,2,2120000
Sleeping Dogs,PS3,Action-Adventure,Square Enix,47,8.0,704,8.0,1040000,2012,18,2,1910000
LEGO Pirates of the Caribbean: The Video Game,X360,Action,Disney Interactive Studios,54,7.3,106,7.3,1040000,2011,15,7,5510000
Harry Potter and the Prisoner of Azkaban,PS2,Adventure,Electronic Arts,29,7.0,80,7.9,1020000,2004,2,5,2150000
LEGO Jurassic World,PS3,Action,Warner Bros. Interactive Entertainment,46,7.0,201,7.2,1020000,2015,14,7,5680000
Just Cause 3,XOne,Action-Adventure,Square Enix,53,7.4,1064,6.1,1010000,2015,18,3,3150000
LEGO Marvel's Avengers,PS4,Action,Warner Bros. Interactive Entertainment,70,7.1,242,7.3,1010000,2016,14,7,3120000
LEGO Jurassic World,X360,Action,Warner Bros. Interactive Entertainment,46,7.0,201,7.2,1010000,2015,14,7,5680000
LEGO Harry Potter: Years 5-7,X360,Action,Warner Bros. Interactive,35,7.7,105,7.6,1010000,2011,22,8,5020000
Prince of Persia,X360,Adventure,Ubisoft,73,8.1,202,7.2,1010000,2008,4,2,2080000
Dynasty Warriors 3: Xtreme Legends,PS2,Action,KOEI,16,7.2,14,5.2,1000000,2003,42,1,1000000
Tom Clancy's Splinter Cell: Blacklist,X360,Action-Adventure,Ubisoft,58,8.2,500,7.6,1000000,2013,4,4,2320000
The Bouncer,PS2,Action,Square,20,6.6,46,7.2,990000,2001,63,1,990000
Apollo Justice: Ace Attorney,DS,Adventure,Capcom,48,7.8,122,7.9,990000,2008,11,2,1000000
Tom Clancy's Splinter Cell: Blacklist,PS3,Action-Adventure,Ubisoft,58,8.2,500,7.6,980000,2013,4,4,2320000
The LEGO Movie Videogame,PS3,Action-Adventure,Warner Bros. Interactive Entertainment,31,7.1,177,7.0,980000,2014,14,7,5350000
Grand Theft Auto: San Andreas,PC,Action,Rockstar Games,80,9.5,4488,9.2,970000,2005,7,3,3050000
Brutal Legend,X360,Action,Electronic Arts,88,8.2,197,7.7,970000,2009,2,2,1910000
Grand Theft Auto: Vice City Stories,PS2,Action,Rockstar Games,50,8.6,381,8.2,970000,2007,7,2,6050000
Skylanders: Spyro's Adventure,X360,Action,Activision,35,7.8,98,6.4,970000,2011,1,5,5380000
Sea of Thieves,XOne,Action-Adventure,Microsoft Studios,78,6.9,2554,5.6,960000,2018,28,1,960000
LEGO Pirates of the Caribbean: The Video Game,PS3,Action,Disney Interactive Studios,54,7.3,106,7.3,960000,2011,15,7,5510000
Gangs of London,PSP,Adventure,Sony Computer Entertainment,47,5.2,10,6.7,960000,2006,6,1,960000
LEGO Harry Potter: Years 5-7,PS3,Action,Warner Bros. Interactive,35,7.7,105,7.6,950000,2011,22,8,5020000
Tom Clancy's Splinter Cell: Chaos Theory,PS2,Adventure,Ubisoft,70,9.4,301,8.6,950000,2005,4,5,2230000
Destroy All Humans!,PS2,Adventure,THQ,40,7.0,195,7.7,940000,2005,5,2,1400000
Prince of Persia: The Sands of Time,XB,Adventure,Ubisoft,44,9.2,559,8.6,940000,2003,4,5,3630000
Castlevania: Lament of Innocence,PS2,Action,Konami,45,7.9,97,8.5,940000,2003,8,1,940000
Brutal Legend,PS3,Action,Electronic Arts,88,8.2,197,7.7,940000,2009,2,2,1910000
Skylanders: Spyro's Adventure,PS3,Action,Activision,35,7.8,98,6.4,940000,2011,1,5,5380000
Monster Hunter: World,XOne,Action,Capcom,100,9.0,2315,7.8,930000,2018,11,1,930000
Phoenix Wright: Ace Attorney,DS,Adventure,Capcom,53,8.1,377,8.9,930000,2005,11,1,930000
Bayonetta,X360,Action,Sega,86,9.0,783,8.2,930000,2010,9,2,2140000
Dante's Inferno,X360,Action,Electronic Arts,71,7.3,283,7.7,920000,2010,2,3,2200000
LEGO Pirates of the Caribbean: The Video Game,DS,Action,Disney Interactive Studios,54,7.3,106,7.3,910000,2011,15,7,5510000
Dynasty Warriors 7,PS3,Action,Tecmo Koei,25,5.7,70,7.3,910000,2011,40,2,1150000
Assassin's Creed,PC,Adventure,Ubisoft,77,8.1,1559,7.3,910000,2008,4,3,11290000
James Cameron's Avatar: The Game,PS3,Action,Ubisoft,62,6.1,59,6.2,900000,2009,4,6,3440000
Resident Evil: Revelations,3DS,Action,Capcom,78,8.2,665,8.2,890000,2012,11,4,1850000
The Tomb Raider Trilogy,PS3,Action,Square Enix,37,7.8,87,8.4,890000,2011,18,1,890000
