title,console,genre,publisher,metacritic_review_count,metacritic_review_score,user_review_count,user_review_score,total_sales,release_year,publisher_rank,platform_release_count,total_sales_per_title
Grand Theft Auto V,PS3,Action,Rockstar Games,66,9.7,12182,8.5,20320000,2013,7,4,64290000
Grand Theft Auto V,PS4,Action,Rockstar Games,66,9.7,12182,8.5,19390000,2014,7,4,64290000
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,62,9.5,2278,8.7,16149999,2002,7,2,16189999
Grand Theft Auto V,X360,Action,Rockstar Games,66,9.7,12182,8.5,15860000,2013,7,4,64290000
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,109,9.7,28071,8.9,13940000,2018,7,2,19710000
Grand Theft Auto III,PS2,Action,Rockstar Games,56,9.7,1673,8.1,13100000,2001,7,2,13110000
Grand Theft Auto IV,X360,Action,Rockstar Games,86,9.8,4462,8.3,11090000,2008,7,3,22530000
Grand Theft Auto IV,PS3,Action,Rockstar Games,86,9.8,4462,8.3,10570000,2008,7,3,22530000
Grand Theft Auto V,XOne,Action,Rockstar Games,66,9.7,12182,8.5,8720000,2014,7,4,64290000
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,65,8.8,406,8.0,7720000,2005,7,2,11260000
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,105,9.6,7216,8.8,6740000,2009,6,1,6740000
Red Dead Redemption,PS3,Action,Rockstar Games,96,9.5,3713,8.9,6570000,2011,7,2,13070000
Red Dead Redemption,X360,Action,Rockstar Games,96,9.5,3713,8.9,6500000,2010,7,2,13070000
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,61,8.4,1940,7.0,6500000,2012,4,4,13060000
Red Dead Redemption 2,XOne,Action-Adventure,Rockstar Games,109,9.7,28071,8.9,5770000,2018,7,2,19710000
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,24,8.0,388,8.5,5660000,2007,12,4,15330000
Assassin's Creed II,PS3,Action,Ubisoft,82,9.0,2668,8.8,5570000,2009,4,3,11410000
Assassin's Creed,X360,Action,Ubisoft,77,8.1,1559,7.3,5550000,2007,4,3,11290000
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,87,9.4,3093,8.8,5540000,2011,22,2,10290000
Assassin's Creed III,X360,Action-Adventure,Ubisoft,61,8.4,1940,7.0,5310000,2012,4,4,13060000
Assassin's Creed II,X360,Action,Ubisoft,82,9.0,2668,8.8,5300000,2009,4,3,11410000
Resident Evil 5,PS3,Action,Capcom,91,8.3,895,7.3,5100000,2009,11,4,8740000
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,50,8.6,381,8.2,5080000,2006,7,2,6050000
